time,lat,lon,depth,cell_abundance_picoeuk,cell_abundance_prochloro,cell_abundance_synecho,diameter_picoeuk,diameter_prochloro,diameter_synecho,carbon_quota_picoeuk,carbon_quota_prochloro,carbon_quota_synecho,carbon_biomass_picoeuk,carbon_biomass_prochloro,carbon_biomass_synecho
2023-01-23T14:04:08.000Z,30.7405,-120.7626,5,2.67843477550226,107.952292680014,2.22804492174222,1.72978333333333,0.555996666666667,0.825653333333333,0.615448240642884,0.0329054985007615,0.0912686158859603,1.64449589848618,3.55206373899315,0.203318251749061
2023-01-23T20:19:37.000Z,30.1885,-121.7643,5,1.78212968359663,132.463541994682,1.84556853933949,1.84154,0.539056666666667,0.818543333333333,0.724284327483029,0.0303813096606904,0.0892677919922755,1.28335099966665,4.02291940911757,0.164663784710094
2023-01-24T01:57:10.000Z,29.63,-122.5791,5,1.73822250157641,125.836933767238,1.65256509511051,1.88733333333333,0.569216666666667,0.862193333333333,0.772242865839842,0.034962000847323,0.102058434028325,1.33346316051953,4.39944354612504,0.168633969396644
2023-01-24T14:34:08.000Z,28.2611,-124.7425,5,1.35380051740234,153.176890919713,1.50782434029187,1.89550333333333,0.457943333333333,0.772473333333333,0.779741556980774,0.0199467278154407,0.0768724229386774,1.06523671178707,3.05516273091625,0.115948085993551
2023-01-24T20:10:25.000Z,28.2612,-124.7247,5,1.32903515038136,165.494207092784,1.44264530242942,2.06693333333333,0.47547,0.79664,0.974613514944537,0.0219766686366544,0.0832226730488889,1.30264956140751,3.63710457021104,0.120071457200524
2023-01-25T02:33:13.000Z,27.6994,-125.6559,5,1.09663616680223,142.960765602462,1.468487732699,2.07902333333333,0.507173333333333,0.820433333333333,0.988904525490754,0.0259589535852287,0.0897955188924795,1.08554685716389,3.71105120001839,0.132066072485696
2023-01-25T14:31:10.000Z,26.2364,-128.0896,5,1.09534847119577,155.143654838114,1.60548843199108,1.87982,0.466413333333333,0.77499,0.762998049900641,0.0209127481924355,0.0775256408568165,0.83506047823111,3.244528351389,0.124339926868166
2023-01-26T02:45:13.000Z,24.8217,-130.3709,5,1.15415276084377,127.060257572263,1.27084183808383,1.89660333333333,0.51334,0.79032,0.782520358685572,0.0267811100892438,0.0815403987310477,0.90258511060577,3.40147327150827,0.103693948082707
2023-01-26T15:07:11.000Z,23.3062,-132.828,5,1.03122647926063,136.065089258224,1.52197387052136,1.75500333333333,0.459153333333333,0.736766666666667,0.638943882770887,0.0200900194083967,0.0680663402652003,0.659852903317616,2.733822669347,0.103936923145817
2023-01-27T03:00:15.000Z,21.8319,-135.1756,5,1.49104373061143,133.163214249975,2.71189832883018,1.88783,0.57519,0.8969,0.77083383553857,0.0359168050427082,0.112993424361228,1.14934695782294,4.78279720507674,0.306426678694015
2023-01-27T15:28:13.000Z,20.2618,-137.6384,5,5.17941078334709,139.255949082969,8.02818154780216,1.54477666666667,0.558266666666667,0.827606666666667,0.459635285977469,0.0332532203888292,0.0918317425775864,2.37801034514836,4.63070704267409,0.737431271393881
2023-01-27T21:46:42.000Z,19.368,-138.7207,5,2.83945851811566,130.110892466102,5.25287827407981,1.72723,0.579603333333333,0.84091,0.613558986408802,0.0366317686343205,0.0956837142196794,1.7460748263195,4.76548898436321,0.502724533807752
2023-01-28T03:30:17.000Z,19.3316,-138.7118,5,2.40868305797825,112.780540959565,4.8034372263892,1.76526666666667,0.632943333333333,0.856226666666667,0.648426074823203,0.0459725791044231,0.100249246847965,1.56368406904033,5.18440205381073,0.481429188793039
2023-01-28T15:21:41.000Z,19.3316,-138.7118,5,3.1599967387053,151.263025596878,5.48285122491201,1.68876,0.52399,0.78456,0.579147603229162,0.0282381476813847,0.080008305435326,1.83467031278255,4.27136526503512,0.438694040831769
2023-01-28T21:07:08.000Z,19.3316,-138.7118,5,2.71917722203571,111.016115418839,5.36155219270427,1.77231,0.55707,0.829576666666667,0.655382050101392,0.0330736916500662,0.0923927834060567,1.77407446960311,3.66620743818643,0.495604888022331
2023-01-29T03:27:18.000Z,19.3311,-138.7135,5,2.79981078716821,121.665282792231,5.32802791206581,2.07162333333333,0.641306666666667,0.856106666666667,0.980241695594006,0.0475599064921674,0.100210465653533,2.75244479371518,5.78590327271382,0.533810851226797
2023-01-29T15:30:24.000Z,19.278,-138.9367,5,3.07500602722628,154.588005965744,6.19676295936918,1.6637,0.521726666666667,0.78113,0.556895802890295,0.0279247775777321,0.079105105885587,1.71067377253595,4.31693011735626,0.490147350635411
2023-01-29T21:13:03.000Z,19.2341,-139.125,5,3.42629433532903,160.170928511753,6.88587913984635,1.85225666666667,0.574013333333333,0.816546666666667,0.734216624717645,0.0357271607520754,0.0886947954491843,2.51155089240256,5.72213697416688,0.610833643841896
2023-01-30T03:27:18.000Z,18.1463,-139.4204,5,3.41606589902722,146.745263121905,6.31310484596487,1.94913666666667,0.628713333333333,0.849946666666667,0.839627277455365,0.0451845748197217,0.0983601277792204,2.8584583274414,6.63055929373375,0.62102542022246
2023-01-30T15:25:12.000Z,15.9765,-140.0052,5,6.22656188542712,200.689802495909,14.1868944400912,1.60875333333333,0.538,0.777993333333333,0.510219904123518,0.0302275416984774,0.0782951109328265,3.17801622705333,6.06528023886794,1.11081669224247
2023-01-30T21:22:48.000Z,15.8315,-140.0047,5,6.88041829942074,183.509699250397,15.7468923980344,1.76276333333333,0.61241,0.823436666666667,0.645951623933297,0.0422240716285998,0.0906375106114415,4.44285189739299,7.74736832879141,1.42725866096173
2023-01-31T03:36:19.000Z,14.5194,-140.0045,5,7.53965145105507,118.517801806372,17.4337522484237,1.78987333333333,0.6318,0.790836666666667,0.672579425553743,0.0457604634967912,0.081669452552854,5.07534800265628,5.42292999835709,1.42346742785787
2023-01-31T15:22:13.000Z,12.3615,-140.0037,5,12.348359843497,187.955736319212,6.74786233553282,1.44578333333333,0.505316666666667,0.79066,0.387431221854729,0.025714654035724,0.0816226959786637,4.7809075597007,4.83326198423219,0.550989658032156
2023-01-31T21:24:55.000Z,12.3621,-140.0042,5,11.6309565951864,167.59230405032,6.05751990604594,1.64198666666667,0.560936666666667,0.826223333333333,0.53814464228056,0.0336656153926051,0.0914396543097164,6.25578684748035,5.64147235094211,0.553650424400619
2023-02-01T03:48:19.000Z,11.0625,-140.0052,5,9.1845025552977,139.524898523645,22.1437945833798,1.85518,0.673396666666667,0.81303,0.736915976809467,0.0539437042074122,0.0877133041077086,6.76860369056489,7.52619450402505,1.94254500660908
2023-02-01T15:25:12.000Z,9.4163,-139.9828,5,8.91979868095913,172.832606864397,9.70705672297152,1.51945333333333,0.522793333333333,0.797403333333333,0.440285588787548,0.0280717079952675,0.0834387022353727,3.92698615561009,4.85151927685595,0.809571277390276
2023-02-01T21:28:40.000Z,9.4164,-139.9826,5,7.95367672487141,148.867335930871,8.59118890090671,1.67817333333333,0.596863333333333,0.846133333333333,0.56894996560318,0.0395125622506382,0.0972297014839532,4.52484553643724,5.88216426127751,0.835441697203562
2023-02-02T03:36:18.000Z,9.4117,-139.7999,5,7.51064637879146,127.00462675475,11.5995546060671,1.89205666666667,0.674993333333333,0.823063333333333,0.775465576085548,0.0542722435230379,0.0905337856251978,5.82876964413737,6.89253766731512,1.05029219841799
2023-02-02T15:34:15.000Z,9.4168,-139.9815,5,9.48158653118308,198.64990486265,11.0994454660774,1.48433666666667,0.523213333333333,0.79486,0.414658157808577,0.028129909028994,0.0827424873608195,3.93293597009691,5.58816846227913,0.918426393911878
2023-02-02T21:37:42.000Z,9.4172,-139.9803,5,8.55488847767805,177.158862921143,10.1818457242285,1.69118333333333,0.587723333333333,0.828043333333333,0.580487859125816,0.0379709606015886,0.0919515749064465,4.96520295464752,6.72641321762747,0.936210283598005
2023-02-03T04:03:23.000Z,9.4167,-139.9825,5,7.65489008142289,151.33447097089999,13.9012294750212,1.8698,0.655293333333333,0.796806666666667,0.752621639309183,0.0502787482492997,0.0832827760623505,5.75728817208434,7.60920976055253,1.15832500435253
2023-02-03T15:31:15.000Z,7.1794,-140.0017,5,10.8996456096805,199.950224245685,11.1243698988346,1.48844333333333,0.536713333333333,0.77651,0.417501181520803,0.0300410095152293,0.0779092158076868,4.54903656208397,6.00674737307558,0.866260853531144
2023-02-03T22:46:37.000Z,5.9326,-139.9992,5,8.71182726185243,170.582429761834,8.5747187220258,1.61131,0.58508,0.81896,0.512282084774746,0.0375321529959447,0.0893854759057639,4.4634603451691,6.40274715036236,0.766292880945354
